0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,-1.000000,0.000000,0.000000,0.000000
-0.000001,0.000620,-1.000646,0.000025,-0.000000,0.000001
-0.000002,0.001859,-1.001937,0.000075,-0.000001,0.000004
-0.000004,0.003717,-1.003872,0.000148,-0.000002,0.000007
-0.000007,0.006194,-1.006447,0.000240,-0.000004,0.000012
-0.000011,0.009289,-1.009656,0.000349,-0.000006,0.000018
-0.000017,0.013000,-1.013494,0.000468,-0.000009,0.000026
-0.000026,0.017326,-1.017952,0.000590,-0.000014,0.000035
-0.000039,0.022266,-1.023020,0.000708,-0.000021,0.000045
-0.000056,0.027818,-1.028688,0.000812,-0.000030,0.000057
-0.000078,0.033979,-1.034943,0.000892,-0.000042,0.000071
-0.000107,0.040748,-1.041771,0.000936,-0.000058,0.000087
-0.000143,0.048121,-1.049156,0.000931,-0.000077,0.000104
-0.000189,0.056095,-1.057082,0.000863,-0.000102,0.000124
-0.000245,0.064669,-1.065531,0.000717,-0.000132,0.000145
-0.000313,0.073839,-1.074483,0.000475,-0.000169,0.000169
-0.000395,0.083602,-1.083917,0.000120,-0.000213,0.000195
-0.000493,0.093953,-1.093812,-0.000366,-0.000266,0.000224
-0.000608,0.104890,-1.104142,-0.001004,-0.000328,0.000256
-0.000742,0.116409,-1.114884,-0.001815,-0.000401,0.000290
-0.000899,0.128506,-1.126012,-0.002821,-0.000485,0.000327
-0.001079,0.141176,-1.137498,-0.004046,-0.000583,0.000368
-0.001285,0.154417,-1.149314,-0.005515,-0.000694,0.000411
-0.001519,0.168223,-1.161430,-0.007252,-0.000820,0.000458
-0.001784,0.182590,-1.173815,-0.009284,-0.000964,0.000509
-0.002083,0.197514,-1.186438,-0.011639,-0.001125,0.000563
-0.002418,0.212989,-1.199266,-0.014345,-0.001306,0.000621
-0.002791,0.229012,-1.212264,-0.017432,-0.001507,0.000682
-0.003207,0.245578,-1.225397,-0.020931,-0.001732,0.000748
-0.003667,0.262680,-1.238628,-0.024872,-0.001980,0.000817
-0.004175,0.280315,-1.251921,-0.029288,-0.002254,0.000891
-0.004733,0.298475,-1.265237,-0.034211,-0.002556,0.000969
-0.005346,0.317156,-1.278537,-0.039677,-0.002886,0.001051
-0.006017,0.336351,-1.291779,-0.045718,-0.003248,0.001138
-0.006748,0.356054,-1.304922,-0.052371,-0.003643,0.001229
-0.007544,0.376258,-1.317923,-0.059671,-0.004072,0.001325
-0.008408,0.396955,-1.330740,-0.067655,-0.004538,0.001426
-0.009344,0.418137,-1.343326,-0.076360,-0.005042,0.001531
-0.010355,0.439795,-1.355635,-0.085823,-0.005588,0.001641
-0.011446,0.461921,-1.367622,-0.096082,-0.006176,0.001757
-0.012620,0.484504,-1.379238,-0.107176,-0.006809,0.001877
-0.013883,0.507533,-1.390433,-0.119142,-0.007489,0.002003
-0.015236,0.530995,-1.401157,-0.132019,-0.008218,0.002134
-0.016686,0.554877,-1.411359,-0.145845,-0.008999,0.002270
-0.018235,0.579166,-1.420987,-0.160659,-0.009834,0.002412
-0.019888,0.603844,-1.429987,-0.176499,-0.010724,0.002560
-0.021650,0.628895,-1.438304,-0.193402,-0.011672,0.002715
-0.023523,0.654299,-1.445883,-0.211405,-0.012681,0.002875
-0.025513,0.680035,-1.452667,-0.230545,-0.013751,0.003043
-0.027623,0.706080,-1.458599,-0.250856,-0.014886,0.003217
-0.029856,0.732410,-1.463619,-0.272374,-0.016087,0.003399
-0.032216,0.758996,-1.467669,-0.295130,-0.017357,0.003588
-0.034707,0.785811,-1.470688,-0.319158,-0.018695,0.003785
-0.037331,0.812820,-1.472614,-0.344488,-0.020105,0.003992
-0.040091,0.839990,-1.473386,-0.371147,-0.021588,0.004207
-0.042989,0.867284,-1.472940,-0.399162,-0.023143,0.004432
-0.046026,0.894661,-1.471213,-0.428559,-0.024774,0.004667
-0.049204,0.922077,-1.468140,-0.459358,-0.026479,0.004913
-0.052524,0.949488,-1.463657,-0.491582,-0.028259,0.005171
-0.055985,0.976842,-1.457697,-0.525247,-0.030115,0.005442
